"filename", "language", "Python", "pip requirements", "JSON", "CSS", "Shell Script", "Markdown", "HTML", "Plain Text (PDF)", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/chat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/chevron-bottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/chevron-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/chevron-top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/circle-check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/circle-x.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/clock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cloud-download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cloud-upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cloud.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cloudy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/code.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/cog.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/collapse-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/collapse-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
